species	max_distance	mean_distance	std_distance	quartile_75_distance	quartile_25_distance	max_length	min_length
Acinetobacter oleivorans	0.0	0.0		0.0	0.0	4152543.0	4152543.0
Acinetobacter pittii	0.037311	0.027781347603305785	0.010332158980304167	0.0332581	0.0294234	4295433.0	3862530.0
Acinetobacter radioresistens	0.0158335	0.00791675	0.009141475487213939	0.0158335	0.0	3132860.0	3089777.0
Acinetobacter schindleri	0.028315100000000006	0.014157550000000003	0.016347730607131176	0.028315100000000006	0.0	3268053.0	3244663.0
Acinetobacter soli	0.0	0.0		0.0	0.0	3636349.0	3636349.0
Acinetobacter sp.	0.23011	0.171116165625	0.07429756812444628	0.2130555	0.17353749999999998	3967361.0	3048277.0
Acinetobacter tandoii	0.0	0.0		0.0	0.0	4169274.0	4169274.0
Acinetobacter towneri	0.0	0.0		0.0	0.0	2953039.0	2953039.0
Acinetobacter ursingii	0.0	0.0		0.0	0.0	3568996.0	3568996.0
Acinetobacter variabilis	0.0	0.0		0.0	0.0	3696158.0	3696158.0
Acinetobacter wuhouensis	0.027077	0.0135385	0.015632913238847496	0.027077	0.0	4599140.0	3960451.0
Actinoalloteichus hoggarensis	0.0	0.0		0.0	0.0	6606717.0	6606717.0
Actinoalloteichus hymeniacidonis	0.0	0.0		0.0	0.0	6306386.0	6306386.0
Actinoalloteichus sp.	0.210897	0.09446853777777779	0.11046119653923157	0.210897	0.0	7275385.0	6822750.0
Actinobacillus delphinicola	0.0	0.0		0.0	0.0	1837244.0	1837244.0
Actinobacillus equuli	4.769060000000002e-05	2.384530000000001e-05	2.753418074781478e-05	4.769060000000002e-05	0.0	2451991.0	2431533.0
Actinobacillus lignieresii							
Actinobacillus pleuropneumoniae	0.014150200000000003	0.010258705679012346	0.004832626273572409	0.013015700000000002	0.0108269	2365505.0	2242062.0
Actinobacillus porcitonsillarum	0.0	0.0		0.0	0.0	2263191.0	2263191.0
Actinobacillus succinogenes	0.0	0.0		0.0	0.0	2319663.0	2319663.0
Actinobacillus suis	0.0	0.0	0.0	0.0	0.0	2501959.0	2501598.0
Actinobacteria bacterium	1.0	0.6104634400000001	0.45413180461688657	1.0	0.191731	2461858.0	1353947.0
Actinobaculum sp.	0.0	0.0		0.0	0.0	2768961.0	2768961.0
Actinomadura amylolytica	0.0	0.0		0.0	0.0	6800142.0	6800142.0
Actinomyces gaoshouyii	0.0	0.0		0.0	0.0	2359360.0	2359360.0
Actinomyces howellii	0.0	0.0		0.0	0.0	3148934.0	3148934.0
Actinomyces israelii	0.0	0.0		0.0	0.0	2572997.0	2572997.0
Actinomyces oris	0.0	0.0		0.0	0.0	3042917.0	3042917.0
Actinomyces pacaensis	0.0	0.0		0.0	0.0	1892549.0	1892549.0
Actinomyces radicidentis	0.0	0.0		0.0	0.0	3051613.0	3051613.0
Actinomyces slackii	0.0	0.0		0.0	0.0	3220508.0	3220508.0
Actinomyces sp.	0.263022	0.1690463224489796	0.08001911447868322	0.219531	0.12827	3988549.0	2877864.0
Actinomyces tangfeifanii	0.0	0.0		0.0	0.0	2207832.0	2207832.0
Actinomyces viscosus	0.0	0.0		0.0	0.0	3491241.0	3491241.0
Actinoplanes friuliensis	0.0	0.0		0.0	0.0	9376071.0	9376071.0
Actinoplanes missouriensis	0.0	0.0		0.0	0.0	8773466.0	8773466.0
Actinoplanes sp.	0.197292	0.10456032	0.09477278074985455	0.191731	0.0	9293892.0	9228054.0
Actinoplanes teichomyceticus	0.0	0.0		0.0	0.0	8287152.0	8287152.0
Actinopolyspora erythraea	0.0	0.0		0.0	0.0	5243930.0	5243930.0
Actinosynnema mirum							
Actinosynnema pretiosum	0.0315792	0.0157896	0.01823225962079303	0.0315792	0.0	8340266.0	8131572.0
Actinotignum schaalii	0.0	0.0		0.0	0.0	2159306.0	2159306.0
Adlercreutzia equolifaciens	0.0	0.0		0.0	0.0	2862526.0	2862526.0
Advenella kashmirensis	0.0	0.0		0.0	0.0	4423879.0	4423879.0
Advenella mimigardefordensis	0.0	0.0		0.0	0.0	4764126.0	4764126.0
Aequorivita sp.	0.0	0.0		0.0	0.0	3682614.0	3682614.0
Aequorivita sublithincola	0.0	0.0		0.0	0.0	3520671.0	3520671.0
Aeribacillus pallidus	0.0	0.0		0.0	0.0	4089457.0	4089457.0
Aerococcaceae bacterium	0.0	0.0		0.0	0.0	2572159.0	2572159.0
Aerococcus christensenii	0.0	0.0		0.0	0.0	1634920.0	1634920.0
Aerococcus sanguinicola	0.0	0.0		0.0	0.0	2033849.0	2033849.0
Aerococcus urinae	0.0613264	0.0306632	0.03540681354843067	0.0613264	0.0	2080974.0	1974262.0
Aerococcus urinaeequi	0.011756399999999998	0.005878199999999999	0.0067875607047009155	0.011756399999999998	0.0	2054328.0	2013339.0
Aerococcus urinaehominis	0.0	0.0		0.0	0.0	1831400.0	1831400.0
Aerococcus viridans	0.0	0.0		0.0	0.0	2199877.0	2199877.0
Aeromicrobium erythreum	0.0	0.0		0.0	0.0	3629239.0	3629239.0
Aeromicrobium sp.	0.161822	0.080911	0.09342797526080361	0.161822	0.0	3717741.0	3446585.0
Aeromonas caviae	0.0238299	0.016519656	0.008686009621084165	0.022205000000000003	0.0160531	4826820.0	4518310.0
Aeromonas dhakensis	0.0	0.0		0.0	0.0	4868053.0	4868053.0
Aeromonas encheleia	0.0	0.0		0.0	0.0	4542521.0	4542521.0
Aeromonas hydrophila	0.110193	0.0302768328399093	0.025599347123451757	0.0314775	0.0262266	5365049.0	4527993.0
Aeromonas media	0.0	0.0		0.0	0.0	4788430.0	4788430.0
Aeromonas rivipollensis							
Aeromonas salmonicida	0.0293293	0.01420278362962963	0.011667505518056454	0.025894	0.00194597	5082912.0	4736282.0
Aeromonas schubertii	0.0123533	0.00617665	0.007132181080380204	0.0123533	0.0	4400034.0	4350713.0
Aeromonas sp.	0.11478	0.05739	0.06626826389758525	0.11478	0.0	5099209.0	4615599.0
Aeromonas veronii	0.0378117	0.029954893827160493	0.010796427922863488	0.0346987	0.032197199999999995	4955058.0	4283286.0
Agarilytica rhodophyticola	0.0	0.0		0.0	0.0	7113812.0	7113812.0
Agarivorans gilvus	0.0	0.0		0.0	0.0	4416600.0	4416600.0
Aggregatibacter actinomycetemcomitans	0.0204789	0.010309748	0.009583480125895898	0.0200167	0.00128842	2367908.0	2105503.0
Aggregatibacter aphrophilus	0.0327227	0.018565079175999998	0.012860993889780918	0.0305785	7.15897e-05	2414427.0	2290909.0
Aggregatibacter segnis	0.0	0.0		0.0	0.0	2022832.0	2022832.0
