taxonId,superkingdom,genus,species
1005482,2,561,562
1005483,2,561,562
1005484,2,561,562
1005485,2,561,562
1005486,2,561,562
1005487,2,561,562
1005488,2,561,562
1005489,2,561,562
1005490,2,561,562
1005491,2,561,562
1005492,2,561,562
1005493,2,561,562
1005494,2,561,562
1005495,2,561,562
1005496,2,561,562
1005497,2,561,562
1005498,2,561,562
1005499,2,561,562
1005500,2,561,562
1005501,2,561,562
1005502,2,561,562
1005503,2,561,562
1005504,2,561,562
1005505,2,561,562
1005506,2,561,562
1005507,2,561,562
1005508,2,561,562
1005509,2,561,562
1005510,2,561,562
1005511,2,561,562
1005512,2,561,562
1005513,2,561,562
1005514,2,561,562
1005515,2,561,562
1005516,2,561,562
1005517,2,561,562
1005518,2,561,562
1005519,2,561,562
1005520,2,561,562
1005521,2,561,562
1005522,2,561,562
1005523,2,561,562
1005524,2,561,562
1005526,2,561,562
1005527,2,561,562
1005528,2,561,562
1005529,2,561,562
1005530,2,561,562
1005531,2,561,562
1005532,2,561,562
1005533,2,561,562
1005534,2,561,562
1005535,2,561,562
1005536,2,561,562
1005537,2,561,562
1005538,2,561,562
1005539,2,561,562
1005540,2,561,562
1005541,2,561,562
1005542,2,561,562
1005543,2,561,562
1005544,2,561,562
1005545,2,561,562
1005546,2,561,562
1005547,2,561,562
1005548,2,561,562
1005549,2,561,562
1005550,2,561,562
1005551,2,561,562
1005552,2,561,562
1005553,2,561,562
1005554,2,561,562
1005555,2,561,562
1005557,2,561,562
1005558,2,561,562
1005559,2,561,562
1005560,2,561,562
1005561,2,561,562
1005562,2,561,562
1005563,2,561,562
1005564,2,561,562
1005565,2,561,562
1005566,2,561,562
1005567,2,561,562
1005665,2,1330547,1005665
1005667,2,1330547,1005667
1005704,2,1301,1303
1005705,2,1301,68892
1005706,2,1301,1334
1005740,2,1427172,1005740
1005926,2,111500,1005926
1005928,2,74030,1005928
1005941,2,1372,1215089
1005944,2,1839,1005944
1005945,2,1839,1005945
1005994,2,158851,158852
1005995,2,82986,82987
1005996,2,160674,575
1005999,2,82980,82981
1006000,2,579,51288
1006003,2,544,546
1006004,2,82976,82977
1006007,2,1386,1404
1006061,10239,691955,691956
1006155,2,1637,1006155
1006543,2,1279,1280
1006551,2,570,1134687
1006554,2,434,438
1006576,2,1511648,1006576
1006579,2,1716,65058
1006581,2,2093,2096
1006583,10239,11584,1006583
1006598,2,613,82996
1006623,2,642,1006623
1006972,10239,1636617,1006972
1007064,2,1301,1307
1007065,2,561,562
1007096,2,459786,1263547
1007099,2,286,1007099
1007103,2,44249,189691
1007104,2,13687,1007104
1007105,2,305976,1007105
1007127,10239,1857843,2560781
1007511,2,165695,1007511
100755,10239,10814,100755
1007654,2,1386,1007654
1007676,2,1578,1007676
100785,10239,185753,100785
1007869,10239,,1007869
1007870,2,810,813
1007871,2,810,813
1008292,10239,674952,1008292
1008297,2,590,28901
1008298,2,1763,1769
1008305,2,2422,1008305
1008452,2,1301,28037
1008453,2,1301,28037
1008454,2,1279,1282
1008457,2,76831,1183151
1008459,2,29574,84590
100884,2,100883,100884
100886,2,135858,100886
100887,10239,12291,100887
100901,2,953,100901
1009370,2,2373,2374
1009417,2,,1009417
1009420,2,,1009420
1009423,2,,1009423
1009464,2,2701,2702
1009714,2,286,287
1009846,2,32008,292
1009852,2,283,285
1009854,2,338,347
1009856,2,32199,9
1009857,2,32199,9
1009858,2,32199,9
1009859,2,32199,9
1010,2,28453,1010
1010610,2,407,1010610
1010611,2,490828,1010611
1010614,10239,680287,1010614
1010616,10239,12148,2035014
1010676,2,189384,1010676
101070,2,648802,101070
1010817,2,561,562
1010834,2,1763,1773
1010835,2,1763,1773
1010836,2,1763,1773
1010838,2,1763,1764
1010840,2,1301,1314
101281,10239,12195,101281
101383,2,246876,101383
1014,2,1013,1014
1015,2,59735,1015
101510,2,1827,132919
101564,2,286,101564
101570,10239,,101570
101571,2,32008,101571
